timestep,age,mean,std,mode,2.5%,25%,50%,75%,97.5%
42290,2114.555,3.043512779,1.044869541,2.606718616,1.420421816,2.315965467,2.89839528,3.598091306,5.551113913
42291,2114.605,3.0449674,1.045437041,2.607914798,1.419282316,2.317758751,2.899667059,3.599488076,5.549947093
42292,2114.655,3.046428072,1.046011545,2.609156419,1.421320789,2.318761893,2.901810449,3.60134995,5.552509914
42293,2114.705,3.04789526,1.046595031,2.610391916,1.422122313,2.319753953,2.904104083,3.602728151,5.557237681
42294,2114.755,3.049365241,1.04718252,2.611631611,1.42230209,2.321893648,2.905750754,3.604213562,5.563276613
42295,2114.805,3.050840997,1.047773301,2.612946296,1.421696987,2.32350635,2.906513004,3.606226596,5.566693215
42296,2114.855,3.052320849,1.048368189,2.614271484,1.421940358,2.324481144,2.906767536,3.609193143,5.573854394
42297,2114.905,3.053806292,1.04897202,2.615619155,1.42218373,2.326408221,2.909092787,3.610947274,5.578569369
42298,2114.955,3.055296584,1.04958319,2.616934155,1.422429341,2.327296273,2.910215356,3.614155136,5.58169578
42299,2115.005,3.056789803,1.050197632,2.618215877,1.422670806,2.328983975,2.912361215,3.616617029,5.586096657
42300,2115.055,3.058286876,1.050820324,2.619398075,1.422913846,2.329151515,2.913259473,3.619070465,5.590438262
42301,2115.105,3.059786495,1.051453622,2.620602025,1.422387027,2.329086769,2.914442957,3.620699448,5.595233018
42302,2115.155,3.061288266,1.052098672,2.621799082,1.422299956,2.328931247,2.915941565,3.623412225,5.596780153
42303,2115.205,3.06279345,1.052749035,2.622879784,1.422386022,2.331184727,2.918573807,3.62517431,5.602525512
42304,2115.255,3.064299657,1.053400802,2.623878302,1.419621513,2.333190575,2.92060273,3.626847262,5.603825307
42305,2115.305,3.065807375,1.054051717,2.624852041,1.41935602,2.334929064,2.922688673,3.62714968,5.606424568
42306,2115.355,3.067319026,1.054709459,2.625822162,1.419915251,2.337433639,2.922733967,3.628998158,5.611941836
42307,2115.405,3.068834374,1.055374903,2.626735768,1.419754007,2.338725111,2.921962818,3.630963522,5.609757433
42308,2115.455,3.07035409,1.056047286,2.627591954,1.419811516,2.340137519,2.922187647,3.631674031,5.612242515
42309,2115.505,3.071876184,1.056727801,2.628431554,1.421632281,2.341449096,2.923403514,3.63265912,5.614864723
